nama_usaha,alamat,penanggung_jawab,badan_usaha,nomor_telepon,nomor_faximili,jenis_hotel,masa_berlaku
HOTEL FAVE,Jl.Kembangan Abadi Utama/Jl.Kembangan Abadi,Emir Zarry,PT. Duta Wahana Gemilang,021 58305537,021 108,H Bintang 2,17-03-15
MORRISSEY,Jl. KH. Wahid Hasyim No. 70,Widijoso Sianandar,PT. Icon Menara Samudera,021 29933333,021 29933333,H Bintang 2,25-03-15
C' ONE HOTEL & PLAZA,Jl. Letjend Suprapto No. 62,"Drs. Idris Sasmita, MM ",PT. Jakarta Tourisindo,021 108,021 108,H Bintang 2,26-03-15
EMPORIUM BOUTIQUE HOTEL,Jl. Pecenongan No. 29,Dedy Sutandy,PT. Kandaga Asrigraha,021 38458563,021 38458563,H Bintang 2,26-03-15
TUGU ASRI,Jl. Jatibaru No. 7-9,Lina Asmahan Abdullah,PT. Hotel Tugu Asri,021 326292,021 3804300,H Bintang 2,27-03-15
ALL SEASONS,Jl. KH. Zainul Arifin No. 5 & 7 RT.002/001,Ie Ie Kurniawan,PT. Loka Asri,021 6385611,021 63856565,H Bintang 2,27-03-15
PONDOK PUTRI DUYUNG,Jl. Lodan Timur No. 7,Ir. Gatot Setyowaluyo,PT. Taman Impian Jaya Ancol,021 2601680,021 2601691,H Bintang 2,08-04-15
SANNO JAKARTA AIRPORT HOTEL,Jl. Pluit Raya Selatan No. 2,Yulia Herlina,PT. Jadore Darmawangsa Raya,021 6606060,021 6604944,H Bintang 2,10-04-15
SHANGRI-LA,Jl. Jend. Sudirman Kav. I Karet Tengsin,Yussuf,PT. Swadharma Kerry Satya,021 5707440,021 5703530,H Bintang 2,12-04-15
BLUE SKY SMART HOTEL,Jl. AIPDA KS. Tubun No. 19 RT. 005/006,Linan Kurniahu,PT. Cahaya Bintang Fortuna,021 29509999,021 29509998,H Bintang 2,15-04-15
MIRAH,Jl. Gunung Sahari XII/18,Atam Sentjaja,PT. Beringin Selaras Graha,021 6598250,021 6598255,H Bintang 2,15-04-15
NEO MELAWAI,Jl. Panglima Polim Raya No. 15,Listiawati Halim,PT. Isihombing,021 29661400,021 29661388,H Bintang 2,15-04-15
HOTEL KING CROSS,Jl. Boulevard Bukit Gading Raya Kokan Blok E,Rudy Susanto,PT. Graha Kertajaya,021 4517353,021 4517353,H Bintang 2,19-05-15
MILLE'S,Lokasari Plaza Lt. 4 Jl. Mangga Besar Raya No. 81,Setiadi Kumala,PT. Hanggar Mega Musik,021 6255318,021 6254704,H Bintang 2,25-04-15
HOTEL GRAND TJOKRO,Jl. Daan Mogot No. 63,Thomas Harsoyo,PT. Karya Cipta Hotelindo,021 5660229,021 108,H Bintang 2,06-05-15
THE FALATEHAN HOTEL,Jl. Falatehan Raya No. 26,Saiful Arifin,PT. Arifindo Graha Pratama,021 7202021,021 7201212,H Bintang 2,13-05-15
FORTUNE,Plaza 3 Pondok Indah Blok F No.1-4 Jl.TB.Simatu,Yogi Idham Fauzi,PT. Fortune Pondok Indah,021 108,021 108,H Bintang 2,16-05-15
B FASHION HOTEL,Jl. Aranda No. 1,Wedji Hartono Pandojo,PT. Tumbuh Sukses Makmur,021 108,021 108,H Bintang 2,17-05-15
IBIS STYLE HOTEL MANGGA DUA SQUARE-,"Mangga Dua Square 2nd Floor, P2 Jl. Gunung Sah",Ariesman Widjaja,PT. Kreasi Cipta Utama,021 108,021 108,H Bintang 2,19-05-15
M. STAR,Jl. Gunung Sahari Raya No. 2,Rocky Sonfonda Matheus,Indik Koperasi TNI Angkatan Laut,021 64715263,021 64715322,H Bintang 2,20-05-15
IBIS,Cawang Commercial Estate Jl. Letjend MT. Haryon,Sebastianus Harno Budi,PT. Superior Coach,021 8004968,021 8004969,H Bintang 2,21-05-15
THE MEDIA HOTEL & TOWERS ,Jl. Gunung Sahari Raya No. 3  ,Nasrul Darisin,PT. Grahasahari Suryajaya,021 6263011,021 6263001,H Bintang 2,22-05-15
SANTIKA KELAPA GADING, Jl. Raya Kelapa Nias Blok. HF 3 Sport Mall  ,Andy Widjanarko,PT. Sima Graha Utama,021 57853855,021 57853857,H Bintang 2,23-05-15
